日期,收盘,regime
2002-01-04,1316.455,SIDEWAYS
2002-01-07,1302.084,SIDEWAYS
2002-01-08,1292.714,SIDEWAYS
2002-01-09,1272.645,SIDEWAYS
2002-01-10,1281.261,SIDEWAYS
2002-01-11,1249.814,SIDEWAYS
2002-01-14,1205.146,SIDEWAYS
2002-01-15,1186.433,CRASH
2002-01-16,1201.877,SIDEWAYS
2002-01-17,1152.148,CRASH
2002-01-18,1149.483,CRASH
2002-01-21,1108.61,CRASH
2002-01-22,1109.994,SIDEWAYS
2002-01-23,1183.154,SIDEWAYS
2002-01-24,1189.583,SIDEWAYS
2002-01-25,1189.428,SIDEWAYS
2002-01-28,1112.835,SIDEWAYS
2002-01-29,1140.377,SIDEWAYS
2002-01-30,1145.855,SIDEWAYS
2002-01-31,1221.76,SIDEWAYS
2002-02-01,1215.743,SIDEWAYS
2002-02-04,1236.969,SIDEWAYS
2002-02-05,1246.842,SIDEWAYS
2002-02-06,1216.788,SIDEWAYS
2002-02-07,1241.023,SIDEWAYS
2002-02-08,1235.092,SIDEWAYS
2002-02-25,1254.611,SIDEWAYS
2002-02-26,1253.121,SIDEWAYS
2002-02-27,1255.997,SIDEWAYS
2002-02-28,1244.603,RECOVERY
2002-03-01,1227.229,SIDEWAYS
2002-03-04,1245.867,RECOVERY
2002-03-05,1275.614,RECOVERY
2002-03-06,1288.444,SIDEWAYS
2002-03-07,1328.388,SIDEWAYS
2002-03-08,1351.854,SIDEWAYS
2002-03-11,1377.037,SIDEWAYS
2002-03-12,1362.404,SIDEWAYS
2002-03-13,1343.138,SIDEWAYS
2002-03-14,1376.329,SIDEWAYS
2002-03-15,1338.702,SIDEWAYS
2002-03-18,1341.907,SIDEWAYS
2002-03-19,1368.378,SIDEWAYS
2002-03-20,1382.417,SIDEWAYS
2002-03-21,1385.79,SIDEWAYS
2002-03-22,1369.901,SIDEWAYS
2002-03-25,1373.012,SIDEWAYS
2002-03-26,1350.009,SIDEWAYS
2002-03-27,1354.098,SIDEWAYS
2002-03-28,1352.533,SIDEWAYS
2002-03-29,1313.466,SIDEWAYS
2002-04-01,1317.579,SIDEWAYS
2002-04-02,1296.574,SIDEWAYS
2002-04-03,1302.248,SIDEWAYS
2002-04-04,1337.728,SIDEWAYS
2002-04-05,1332.201,SIDEWAYS
2002-04-08,1333.705,SIDEWAYS
2002-04-09,1357.742,SIDEWAYS
2002-04-10,1366.716,SIDEWAYS
2002-04-11,1344.734,SIDEWAYS
2002-04-12,1350.689,SIDEWAYS
2002-04-15,1344.581,SIDEWAYS
2002-04-16,1341.502,SIDEWAYS
2002-04-17,1341.766,SIDEWAYS
2002-04-18,1326.546,SIDEWAYS
2002-04-19,1330.642,SIDEWAYS
2002-04-22,1324.867,SIDEWAYS
2002-04-23,1318.661,SIDEWAYS
2002-04-24,1309.727,SIDEWAYS
2002-04-25,1312.483,SIDEWAYS
2002-04-26,1331.714,SIDEWAYS
2002-04-29,1349.785,SIDEWAYS
2002-04-30,1353.607,SIDEWAYS
2002-05-08,1342.292,SIDEWAYS
2002-05-09,1344.783,SIDEWAYS
2002-05-10,1335.451,SIDEWAYS
2002-05-13,1319.814,SIDEWAYS
2002-05-14,1311.68,SIDEWAYS
